0.2508	0.3704	0.5
0.2478	0.3764	0.5
0.2693	0.3863	0.5
0.2317	0.4225	0.5
0.2789	0.3781	0.5
0.2835	0.3778	0.5
0.2786	0.3687	0.5
0.2183	0.3735	0.5
0.246	0.3811	0.5
0.2384	0.4051	0.5
0.2368	0.4093	0.5
0.2405	0.3994	0.5
0.2358	0.4112	0.5
0.2485	0.3744	0.5
0.2257	0.3451	0.5
0.2445	0.3853	0.5
0.2548	0.3624	0.5
0.2369	0.4097	0.5
0.2386	0.4039	0.5
0.2284	0.3613	0.5
0.2269	0.3674	0.5
0.266	0.3877	0.5
0.2394	0.4027	0.5
0.2429	0.3906	0.5
0.26	0.3971	0.5
0.2309	0.3705	0.5
0.2393	0.4033	0.5
0.2423	0.3917	0.5
0.2271	0.3768	0.5
0.2598	0.3969	0.5
0.2224	0.3798	0.5
0.2357	0.4126	0.5
0.2325	0.4208	0.5
0.242	0.3936	0.5
0.2301	0.4262	0.5
0.2405	0.3988	0.5
0.2463	0.3799	0.5
0.2398	0.401	0.5
0.2392	0.4023	0.5
0.2368	0.409	0.5
0.237	0.409	0.5
0.2372	0.4088	0.5
0.2381	0.406	0.5
0.2261	0.3716	0.5
0.2309	0.3788	0.5
0.2392	0.4019	0.5
0.2791	0.3923	0.5
0.2331	0.4185	0.5
0.2262	0.3742	0.5
0.2405	0.3983	0.5
0.236	0.4116	0.5
0.2219	0.3853	0.5
0.2662	0.3827	0.5
0.2306	0.3594	0.5
0.2305	0.4261	0.5
0.2347	0.4152	0.5
0.2316	0.4224	0.5
0.2405	0.3985	0.5
0.2356	0.4127	0.5
0.2311	0.4239	0.5
0.2397	0.4022	0.5
0.2355	0.4134	0.5
0.2384	0.4059	0.5
0.2342	0.4161	0.5
0.2335	0.4191	0.5
0.2407	0.3982	0.5
0.2323	0.4211	0.5
0.2396	0.4025	0.5
0.2339	0.4174	0.5
0.2406	0.3995	0.5
0.2419	0.3944	0.5
0.239	0.4042	0.5
0.2323	0.4214	0.5
0.2413	0.396	0.5
0.2406	0.399	0.5
0.2341	0.4163	0.5
0.2318	0.4217	0.5
0.2199	0.3974	0.5
0.2307	0.4245	0.5
0.2751	0.4166	0.5
0.228	0.4303	0.5
0.2333	0.418	0.5
0.2441	0.387	0.5
0.2413	0.3951	0.5
0.2347	0.4146	0.5
0.2355	0.4132	0.5
0.2138	0.3737	0.5
0.2138	0.3864	0.5
0.2378	0.4066	0.5
0.2401	0.3999	0.5
0.2284	0.4299	0.5
0.2331	0.4194	0.5
0.277	0.4101	0.5
0.2399	0.4004	0.5
0.2434	0.3885	0.5
0.2424	0.3918	0.5
0.2332	0.3461	0.5
0.213	0.3707	0.5
0.238	0.4061	0.5
0.2365	0.4101	0.5
0.2134	0.3846	0.5
0.2171	0.3848	0.5
0.2295	0.4274	0.5
0.2277	0.4309	0.5
0.233	0.4199	0.5
0.1981	0.3989	0.5
0.2137	0.3815	0.5
0.2261	0.4339	0.5
0.2269	0.4328	0.5
0.2263	0.3689	0.5
0.2287	0.4288	0.5
0.2407	0.3983	0.5
0.2295	0.4264	0.5
0.2305	0.4248	0.5
0.234	0.4168	0.5
0.265	0.3841	0.5
0.2384	0.4048	0.5
0.2282	0.4299	0.5
0.2301	0.4255	0.5
